trip_id,start_time,end_time,headway_secs
"71","17:00:00","19:50:00","600"
"72","05:00:00","09:00:00","600"
"72","09:00:00","17:00:00","28800"
"72","17:00:00","19:50:00","600"
"75","05:00:00","09:00:00","600"
"75","09:01:00","15:00:00","900"
"75","15:01:00","20:00:00","600"
"76","05:00:00","09:00:00","600"
"76","09:01:00","15:00:00","900"
"76","15:01:00","20:00:00","600"
"81","05:30:00","09:00:00","210"
"81","09:00:00","16:00:00","510"
"81","16:00:00","19:15:00","210"
"82","06:00:00","09:00:00","210"
"82","09:00:00","16:00:00","510"
"82","16:00:00","19:15:00","210"
"83","06:00:00","18:30:00","450"
"84","06:30:00","19:00:00","450"
"85","06:00:00","07:00:00","600"
"85","07:00:00","09:00:00","300"
"85","09:00:00","09:30:00","600"
"85","09:30:00","16:00:00","900"
"85","16:00:00","17:00:00","600"
"85","17:00:00","20:00:00","300"
"85","20:00:00","21:00:00","600"
"85","21:00:00","22:00:00","900"
"85","22:00:00","23:40:00","1200"
"86","06:00:00","07:00:00","600"
"86","07:00:00","09:00:00","300"
"86","09:00:00","09:30:00","600"
"86","09:30:00","16:00:00","900"
"86","16:00:00","17:00:00","600"
"86","17:00:00","20:00:00","300"
"86","20:00:00","21:00:00","600"
"86","21:00:00","22:00:00","900"
"86","22:00:00","23:40:00","1200"
"87","06:21:00","20:51:00","900"
"87","20:51:00","21:00:00","540"
"87","21:00:00","23:40:00","1200"
"88","06:21:00","20:51:00","900"
"88","20:51:00","21:00:00","540"
"88","21:00:00","23:40:00","1200"
"238","05:30:00","06:30:00","900"
"238","06:30:00","09:30:00","600"
"238","09:30:00","16:30:00","720"
"238","16:30:00","20:30:00","600"
"238","20:30:00","21:30:00","720"
"238","21:30:00","23:59:59","900"
"239","05:30:00","06:30:00","900"
"239","06:30:00","09:30:00","600"
"239","09:30:00","16:30:00","720"
"239","16:30:00","20:30:00","600"
"239","20:30:00","21:30:00","720"
"239","21:30:00","23:59:59","900"
"240","05:30:00","06:30:00","900"
"240","06:30:00","21:30:00","720"
"240","21:30:00","23:59:59","900"
"241","05:30:00","06:30:00","900"
"241","06:30:00","21:30:00","720"
"241","21:30:00","23:59:59","900"
"242","05:30:00","05:44:00","420"
"242","05:44:00","05:52:00","480"
"242","05:52:00","06:20:00","420"
"242","06:20:00","06:28:00","480"
